StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,gender,marital_status,number_of_children,race,education,DMN,MFC,DFN,MMN,DFC,MMC,DMC,MFN,MMN,DFN,control,MN,trust,community,resilient,leadership,integrity,age,number_of_siblings,political_ideology
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender identification?,What is your marital status?,How many children do you have?,What race do you identify with?,What is the highest level of education you have completed?,"Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description:

The candidate is a divorced male and a member of the Democrat party.

He is running for your state's city manager position.

He has no children and is in support of charter schools and preschool federal government funds.

He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

He enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: Candidate description:

The candidate is a married female and a member of the Democrat party.

She is running for your state's city manager position.

She has adopted children and is in support of charter schools and preschool federal government funds.

She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus. 



Candidate description:

The candidate is a divorced female and a member of the Democrat party.

She is running for your state's city manager position.

She has no children and is in support of charter schools and preschool federal government funds.

She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description:

The candidate is a married male and a member of the Democrat party.

He is running for your state's city manager position.

He has no children and is in support of charter schools and preschool federal government funds.

He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

He enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description:

The candidate is a divorced female and a member of the Democrat party.

She is running for your state's city manager position.

She has children and is in support of charter schools and preschool federal government funds.

She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: 

The candidate is a married male and a member of the Democrat party.

He is running for your state's city manager position.

He has adopted children and is in support of charter schools and preschool federal government funds.

He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

He enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: 
The candidate is a divorced male and a member of the Democrat party.

He is running for your state's city manager position. He has children and is in support of charter schools and preschool federal government funds.

He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

He enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: 
The candidate is a married female and a member of the Democrat party. 
She is running for your state's city manager position. 
She has no children and is in support of charter schools and preschool federal government funds. 
She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens. 
She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: The candidate is a married male and a member of the Democrat party. He is running for your state's city manager position. He has no children and is in support of charter schools and preschool federal government funds. He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens. He enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description: 

The candidate is a divorced female and a member of the Democrat party.

She is running for your state's city manager position.

She has no children and is in support of charter schools and preschool federal government funds.

She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.

 

Candidate description:

The candidate is a female and a member of the Democrat party.

She is running for your state's city manager position.

She is in support of charter schools and preschool federal government funds.

She argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

She enjoys the outdoors and enjoys viewing NASCAR races.



Do you support this candidate?","Please read the following description of the hypothetical candidate carefully. Below, fill in one of the multiple choices based on your general support of the candidate. Additionally, you will fill in other questions based on the candidate's trustworthiness, resilience, and community focus.



Candidate description:

The candidate is a male and a member of the Democrat party.

He is running for your state's city manager position.

He has no children and is in support of charter schools and preschool federal government funds.

He argues that healthcare should be a fundamental human right, and that universal healthcare will provide comprehensive care to citizens.

He enjoys the outdoors and enjoys viewing NASCAR races.



 Do you support this candidate?",Do you agree that the candidate is trustworthy?,Do you agree that the candidate is community-focused?,Do you agree that the candidate is resilient?,Do you agree that the candidate demonstrates strong leadership abilities?,Do you agree that the candidate possesses integrity?,How old are you?,How many siblings do you have?,What is your political ideology?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID46""}","{""ImportId"":""QID42""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID61""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID19""}","{""ImportId"":""QID39""}","{""ImportId"":""QID34""}"
10/11/2023 15:55,10/11/2023 15:56,IP Address,129.170.89.129,100,50,TRUE,10/11/2023 15:56,R_3Rr2h4tq1vpI1RE,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,18-24 years old,1,Moderate
10/11/2023 7:05,10/11/2023 15:57,IP Address,129.170.194.145,100,31901,TRUE,10/11/2023 15:57,R_2QSDHItKG3xWTne,,,,,43.7019,-72.2827,anonymous,EN,Prefer not to say,Widowed,3,Asian,Did not graduate from highschool,,,,,,,,,,,,,,,,,,,,
10/11/2023 15:58,10/11/2023 15:58,IP Address,74.104.100.144,100,53,TRUE,10/11/2023 15:58,R_2Qs4oYajWCDoyaO,,,,,42.3399,-71.1245,anonymous,EN,Male,Single,0,Other,"Some college, but no degree",,,,,,,,,,,,,,,,,,18-24 years old,5+,Moderate
10/11/2023 16:02,10/11/2023 16:03,IP Address,107.115.147.71,100,68,TRUE,10/11/2023 16:03,R_pbjb1I5ql2A7vFf,,,,,29.9701,-90.0254,anonymous,EN,Male,Married,3,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,45-54 years old,5+,Conservative
10/11/2023 16:04,10/11/2023 16:04,IP Address,129.170.89.129,100,24,TRUE,10/11/2023 16:04,R_2SI8zj0oZ0laDsf,,,,,43.7019,-72.2827,anonymous,EN,Female,Single,3,Black/ African American,4-year college degree,,,,,,,,,,,,,,,,,,25-34 years old,2,Liberal
10/11/2023 16:15,10/11/2023 16:16,IP Address,172.56.68.50,100,49,TRUE,10/11/2023 16:16,R_3KxOpI1KVmgK8kD,,,,,33.7485,-84.3871,anonymous,EN,Male,Married,1,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,35-44 years old,1,Moderate
10/11/2023 16:17,10/11/2023 16:18,IP Address,68.125.172.105,100,38,TRUE,10/11/2023 16:18,R_2pKWVVnKDJjQFaJ,,,,,32.6574,-96.9079,anonymous,EN,Female,,2,Black/ African American,4-year college degree,,,,,,,,,,,,,,,,,,55-64 years old,2,Moderate
10/11/2023 16:17,10/11/2023 16:18,IP Address,73.77.72.225,100,36,TRUE,10/11/2023 16:18,R_0kCvP9YM0U1Mdbj,,,,,29.8143,-95.8049,anonymous,EN,Female,Married,2,Black/ African American,Postgraduate degree,,,,,,,,,,,,,,,,,,45-54 years old,1,Liberal
10/11/2023 16:38,10/11/2023 16:39,IP Address,76.171.152.202,100,56,TRUE,10/11/2023 16:39,R_3gXBg9sgEXpNWxS,,,,,34.1806,-118.4575,anonymous,EN,Female,Single,1,Black/ African American,4-year college degree,,,,,,,,,,,,,,,,,,45-54 years old,2,Moderate
10/11/2023 16:40,10/11/2023 16:41,IP Address,129.170.195.216,100,25,TRUE,10/11/2023 16:41,R_VUphGWTXtUGfiyl,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,,,,,,,,,,,18-24 years old,1,Liberal
10/11/2023 17:34,10/11/2023 17:35,IP Address,129.170.195.195,100,45,TRUE,10/11/2023 17:35,R_RXqkxwm1PTKwuMF,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 17:36,10/11/2023 17:36,Spam,129.170.195.195,100,13,TRUE,10/11/2023 17:36,R_3k7ygOSolmosxfH,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 17:38,10/11/2023 17:39,Spam,129.170.195.195,100,16,TRUE,10/11/2023 17:39,R_5Bz0ybvWmbgkdwd,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 22:11,10/11/2023 22:12,IP Address,174.251.240.7,100,90,TRUE,10/11/2023 22:12,R_1eUJkuXllLdGThM,,,,,33.5226,-86.8033,anonymous,EN,Female,Divorced,0,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,55-64 years old,5+,
10/12/2023 2:36,10/12/2023 2:37,IP Address,23.118.135.201,100,40,TRUE,10/12/2023 2:37,R_2vlf3LlwjRMCWEP,,,,,33.8067,-84.1657,anonymous,EN,Female,Married,0,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,45-54 years old,1,Liberal
