StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,gender,marital_status,number_of_children,race,education,DMN,MFC,DFN,MMN,DFC,MMC,DMC,MFN,MMN,DFN,control,MN,trust,community,resilient,leadership,integrity,age,number_of_siblings,political_ideology
10/12/2023 18:24,10/12/2023 18:24,IP Address,129.170.195.201,100,18,TRUE,10/12/2023 18:24,R_3oSJiryxb1ck9KH,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Asian,,,,,,,,,,,,,,,,,,,18-24 years old,2,Moderate
10/13/2023 8:52,10/13/2023 8:52,IP Address,69.41.96.247,100,40,TRUE,10/13/2023 8:52,R_3MJQpW6G3yT326B,,,,,32.0727,-81.1293,anonymous,EN,Female,Single,0,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,18-24 years old,1,Liberal
10/14/2023 2:43,10/14/2023 2:54,IP Address,174.251.240.7,100,630,TRUE,10/14/2023 2:54,R_32YpC2cV2CrRtfY,,,,,33.5226,-86.8033,anonymous,EN,Female,Divorced,1,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,55-64 years old,5+,Moderate
10/11/2023 10:52,10/11/2023 10:52,IP Address,129.170.194.145,7,17,FALSE,10/18/2023 10:52,R_2cAu7aW9O7IsMRt,,,,,,,anonymous,EN,Female,Single,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:28,10/18/2023 13:28,Survey Preview,,100,14,TRUE,10/18/2023 13:28,R_1lxUvEjLwoInXGI,,,,,43.7019,-72.2827,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:28,10/18/2023 13:29,Survey Preview,,100,14,TRUE,10/18/2023 13:29,R_1mpUudEhHttlBfN,,,,,43.7019,-72.2827,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:29,10/18/2023 13:29,Survey Preview,,100,11,TRUE,10/18/2023 13:29,R_3R2wmnlqR6XIuse,,,,,43.7019,-72.2827,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:31,10/18/2023 13:32,Survey Preview,,100,69,TRUE,10/18/2023 13:32,R_2WZ4SG8FuM0tDqD,,,,,43.7019,-72.2827,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:35,10/18/2023 13:36,IP Address,129.170.195.194,100,63,TRUE,10/18/2023 13:36,R_28IAzFZCWsyPoks,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 13:36,10/18/2023 13:37,IP Address,129.170.195.194,100,17,TRUE,10/18/2023 13:37,R_Dca0nAENVfk7865,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 14:26,10/18/2023 14:26,Survey Preview,,100,37,TRUE,10/18/2023 14:26,R_9NYdUVN54kua97r,,,,,43.7019,-72.2827,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 14:51,10/18/2023 14:53,Survey Preview,,100,90,TRUE,10/18/2023 14:53,R_2V9Zz44NZhxPXdu,,,,,43.7019,-72.2827,preview,EN,,,,,,Support,,,,,,,,,,,,,,,,,,,
10/18/2023 13:37,10/18/2023 14:54,IP Address,129.170.195.204,100,4590,TRUE,10/18/2023 14:54,R_0dgIWK25kaZoAj7,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 14:54,10/18/2023 14:55,IP Address,129.170.195.204,100,86,TRUE,10/18/2023 14:55,R_3GoHfBUJmnYhVYx,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 16:01,10/18/2023 16:03,IP Address,129.170.194.147,100,85,TRUE,10/18/2023 16:03,R_6M2DTXI4wzkvgqd,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",Support,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Agree,18-24 years old,1,Liberal
10/18/2023 14:55,10/18/2023 16:50,IP Address,129.170.195.192,100,6859,TRUE,10/18/2023 16:50,R_RQYUEAN6xx0LQkN,,,,,43.7019,-72.2827,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2023 16:49,10/18/2023 16:52,IP Address,129.170.194.145,100,177,TRUE,10/18/2023 16:52,R_3n8guRyKKC08P9N,,,,,43.7019,-72.2827,anonymous,EN,Female,Single,0,Asian,"Some college, but no degree",,,,,,,,,,Neutral,,,Agree,Agree,Agree,Agree,Agree,18-24 years old,0,Moderate
10/18/2023 16:50,10/18/2023 16:52,IP Address,129.170.195.193,100,130,TRUE,10/18/2023 16:52,R_1dajAJVeqzyIHtp,,,,,43.7019,-72.2827,anonymous,EN,Female,Single,0,Black/ African American,"Some college, but no degree",,,,,,,,,Support,,,,Agree,Agree,Agree,Agree,Agree,18-24 years old,1,Liberal
10/18/2023 17:14,10/18/2023 17:16,IP Address,129.170.195.215,100,117,TRUE,10/18/2023 17:16,R_3QWvA5pdxqdBATk,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,Strongly Support,,,,,,Agree,Agree,Strongly Agree,Agree,Neutral,18-24 years old,1,Liberal
10/18/2023 16:47,10/18/2023 17:18,IP Address,129.170.195.223,100,1870,TRUE,10/18/2023 17:18,R_3LZjuC3HZhYncFL,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,,,,,,,,,,,,,,,Neutral,,,,,,,,
10/25/2023 13:08,10/25/2023 13:09,IP Address,129.170.195.201,100,83,TRUE,10/25/2023 13:09,R_214CVVsgPaO3FZs,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,Strongly Support,,,,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,18-24 years old,1,Moderate
10/25/2023 13:08,10/25/2023 13:10,IP Address,129.170.195.210,100,74,TRUE,10/25/2023 13:10,R_VPeLp1SiR9XzsOZ,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,,,Strongly Support,,,Agree,Strongly Agree,Agree,Agree,Agree,18-24 years old,1,Liberal
10/25/2023 13:09,10/25/2023 13:11,IP Address,129.170.194.144,100,90,TRUE,10/25/2023 13:11,R_2D1wllVIzBrz9YK,,,,,43.7019,-72.2827,anonymous,EN,Female,Single,0,White,Highschool graduate,,,,,,,Support,,,,,,Agree,Agree,Neutral,Neutral,Neutral,18-24 years old,1,Liberal
10/25/2023 13:13,10/25/2023 13:14,IP Address,129.170.195.201,100,80,TRUE,10/25/2023 13:14,R_3elXyIbPXe2Yqx1,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Other,"Some college, but no degree",,,,,,,,,,,Support,,Neutral,Agree,Neutral,Neutral,Neutral,18-24 years old,2,Liberal
10/25/2023 13:13,10/25/2023 13:15,IP Address,129.170.195.221,100,86,TRUE,10/25/2023 13:15,R_3fVtL9MUnCwckkk,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,,,,Support,,Neutral,Agree,Neutral,Neutral,Neutral,18-24 years old,3,Moderate
10/25/2023 13:16,10/25/2023 13:17,IP Address,174.196.207.240,100,71,TRUE,10/25/2023 13:17,R_3CSZHsMTzPipMPn,,,,,42.3474,-71.1582,anonymous,EN,Male,Single,0,Asian,"Some college, but no degree",,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Neutral,Neutral,18-24 years old,1,Liberal
10/25/2023 13:18,10/25/2023 13:20,IP Address,64.189.54.151,100,109,TRUE,10/25/2023 13:20,R_1oAoYmsjZwlNN3g,,,,,30.2304,-97.7243,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,Neutral,,,,,,,Agree,Agree,Neutral,Agree,Neutral,18-24 years old,2,Moderate
10/25/2023 13:20,10/25/2023 13:21,IP Address,129.170.194.144,100,54,TRUE,10/25/2023 13:21,R_1IgQoCDH9bYzlfo,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,Support,,,,,,,,Neutral,Neutral,Agree,Agree,Neutral,18-24 years old,2,Moderate
10/25/2023 13:17,10/25/2023 13:22,IP Address,76.171.152.202,100,328,TRUE,10/25/2023 13:22,R_C4EWJN8qgdGBH8d,,,,,34.1794,-118.4313,anonymous,EN,Female,Single,1,Black/ African American,4-year college degree,,,,,,,,,,,Support,,Neutral,Agree,Neutral,Neutral,Neutral,45-54 years old,2,Moderate
10/25/2023 13:22,10/25/2023 13:23,IP Address,104.1.62.225,100,71,TRUE,10/25/2023 13:23,R_1DwfL4pnYpqA025,,,,,29.7646,-95.3657,anonymous,EN,Male,Single,0,Asian,"Some college, but no degree",,,,,Neutral,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,18-24 years old,0,Moderate
10/25/2023 13:25,10/25/2023 13:26,IP Address,129.170.195.204,100,95,TRUE,10/25/2023 13:26,R_1OGOR3gDn6IhANO,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,Strongly Support,,,,,,Agree,Agree,Neutral,Neutral,Neutral,18-24 years old,1,Liberal
10/25/2023 13:30,10/25/2023 13:31,IP Address,129.170.194.147,100,74,TRUE,10/25/2023 13:31,R_27mzDnhrEiMGO9n,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Other,Highschool graduate,Support,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,18-24 years old,1,Moderate
10/25/2023 13:33,10/25/2023 13:34,IP Address,129.170.194.144,100,64,TRUE,10/25/2023 13:34,R_DVuStWu0jk0EXYd,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Neutral,18-24 years old,0,Moderate
10/25/2023 13:43,10/25/2023 13:44,IP Address,68.125.172.105,100,67,TRUE,10/25/2023 13:44,R_2YmqfgYOIy9sTEq,,,,,32.6574,-96.9079,anonymous,EN,Female,Married,2,Black/ African American,Postgraduate degree,,,,,,,,,,Neutral,,,Neutral,Neutral,Neutral,Neutral,Neutral,55-64 years old,1,Moderate
10/18/2023 14:04,10/18/2023 14:05,IP Address,73.38.92.183,79,30,FALSE,10/25/2023 14:05,R_2w6NgO8iRs139ax,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2023 14:51,10/25/2023 14:53,IP Address,129.170.194.145,100,63,TRUE,10/25/2023 14:53,R_0HAx7AOmvPhEn85,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Agree,Disagree,18-24 years old,1,Liberal
10/18/2023 14:57,10/18/2023 14:57,IP Address,129.170.195.204,64,6,FALSE,10/25/2023 14:57,R_1hRudPRC1tu8efl,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2023 15:01,10/25/2023 15:03,IP Address,69.41.96.246,100,123,TRUE,10/25/2023 15:03,R_2vkAjMXvgvkzb3m,,,,,32.0773,-81.0901,anonymous,EN,Female,Single,0,,"Some college, but no degree",,,,,,Support,,,,,,,Neutral,Agree,Neutral,Agree,Agree,18-24 years old,1,Liberal
10/25/2023 15:09,10/25/2023 15:10,IP Address,160.83.73.252,100,64,TRUE,10/25/2023 15:10,R_3QQcV4buCtk98ad,,,,,40.7359,-73.9904,anonymous,EN,Non-binary / third gender,Single,0,"Asian,White",4-year college degree,Strongly Support,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,18-24 years old,1,Liberal
10/25/2023 15:09,10/25/2023 15:11,IP Address,148.101.32.51,100,96,TRUE,10/25/2023 15:11,R_10MWFXxILILCsfS,,,,,18.4615,-69.8965,anonymous,EN,Prefer not to say,Married,5+,Other,Highschool graduate,,Strongly Oppose,,,,,,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,25-34 years old,5+,Conservative
10/18/2023 17:14,10/18/2023 17:43,IP Address,129.170.194.147,64,1723,FALSE,10/25/2023 17:43,R_31F2fzTGhDokGeS,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2023 18:18,10/25/2023 18:19,IP Address,73.77.72.225,100,61,TRUE,10/25/2023 18:19,R_vriXNNjl9WdXonn,,,,,29.8143,-95.8049,anonymous,EN,Female,Married,2,Black/ African American,Postgraduate degree,,,,,,,,,,,Strongly Support,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,45-54 years old,1,Liberal
10/28/2023 18:20,10/28/2023 18:21,IP Address,129.170.194.146,100,66,TRUE,10/28/2023 18:21,R_3hipSjORytDNouO,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Neutral,18-24 years old,1,Moderate
10/25/2023 13:09,10/25/2023 13:09,IP Address,129.170.195.202,64,11,FALSE,11/1/2023 13:11,R_25FbMIEbVlEWb81,,,,,,,anonymous,EN,Female,Single,0,White,"Some college, but no degree",,,,,,,,,,,,,,,,,,,,
10/25/2023 13:08,10/25/2023 13:09,IP Address,129.170.195.201,64,21,FALSE,11/1/2023 13:11,R_CkIcAC4kluoeOFX,,,,,,,anonymous,EN,Male,Single,0,"Asian,White",Highschool graduate,,,,,,,,,,,,,,,,,,,,
10/25/2023 13:09,10/25/2023 13:10,IP Address,129.170.194.146,68,77,FALSE,11/1/2023 13:11,R_1MRmW92DnzkutZV,,,,,,,anonymous,EN,Male,Single,0,Asian,"Some college, but no degree",,,,,,,,,Support,,,,,,,,,,,
10/25/2023 13:10,10/25/2023 13:11,IP Address,129.170.195.221,8,7,FALSE,11/1/2023 13:13,R_3G1w4ex6hvL2xSS,,,,,,,anonymous,EN,Male,Single,,,,,,,,,,,,,,,,,,,,,,,
10/25/2023 13:12,10/25/2023 13:12,IP Address,129.170.195.199,64,22,FALSE,11/1/2023 13:14,R_24d6gFEzQAUkcEZ,,,,,,,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,,,,,,,,,,,,,,
10/25/2023 13:23,10/25/2023 13:23,IP Address,104.1.62.225,64,9,FALSE,11/1/2023 13:31,R_1f8lsSRlFOUGpXj,,,,,,,anonymous,EN,Male,Single,,,"Some college, but no degree",,,,,,,,,,,,,,,,,,,,
10/25/2023 13:12,10/25/2023 13:29,IP Address,172.56.65.167,64,1021,FALSE,11/1/2023 13:35,R_2t3VExCZqcBSufe,,,,,,,anonymous,EN,Male,Married,1,Black/ African American,"Some college, but no degree",,,,,,,,,,,,,,,,,,,,
10/25/2023 13:46,10/25/2023 13:46,IP Address,129.170.194.144,64,19,FALSE,11/1/2023 13:51,R_3oUi6lwOZhyhWuh,,,,,,,anonymous,EN,Male,Single,0,"Asian,White","Some college, but no degree",,,,,,,,,,,,,,,,,,,,
10/25/2023 14:49,10/25/2023 14:50,IP Address,129.170.195.198,16,21,FALSE,11/1/2023 14:50,R_1DGCfek1XduOYSy,,,,,,,anonymous,EN,Male,Married,0,Asian,,,,,,,,,,,,,,,,,,,,,
10/25/2023 15:10,10/25/2023 15:10,IP Address,160.83.73.252,64,16,FALSE,11/1/2023 15:10,R_1JDCNpBKkbdhF7i,,,,,,,anonymous,EN,Female,Married,2,White,Postgraduate degree,,,,,,,,,,,,,,,,,,,,
10/25/2023 18:13,10/25/2023 18:13,IP Address,129.170.194.146,16,14,FALSE,11/1/2023 18:14,R_3KNQEiDZ8u81ygj,,,,,,,anonymous,EN,Male,Single,0,"Asian,White",,,,,,,,,,,,,,,,,,,,,
11/13/2023 4:06,11/13/2023 4:07,IP Address,129.170.197.123,100,58,TRUE,11/13/2023 4:07,R_Dpo8ywq14AX6YJH,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,Asian,Highschool graduate,Neutral,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,18-24 years old,2,Moderate
11/13/2023 4:11,11/13/2023 4:11,IP Address,104.1.62.225,100,53,TRUE,11/13/2023 4:12,R_2uBrjF071Ue6WmV,,,,,29.7646,-95.3657,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,,,,,,Neutral,,,Neutral,Neutral,Neutral,Neutral,Neutral,18-24 years old,0,Moderate
11/13/2023 5:06,11/13/2023 5:07,IP Address,76.31.40.232,100,57,TRUE,11/13/2023 5:07,R_2YSv5dAsNBluMyH,,,,,29.7646,-95.3657,anonymous,EN,Female,Single,0,Asian,"Some college, but no degree",,,,,,,,Strongly Support,,,,,Neutral,Agree,Agree,Agree,Agree,18-24 years old,2,Liberal
11/13/2023 5:57,11/13/2023 5:58,IP Address,129.170.197.127,100,72,TRUE,11/13/2023 5:58,R_2YxnEGEuG2iVTkB,,,,,43.7019,-72.2827,anonymous,EN,Female,Single,0,Black/ African American,"Some college, but no degree",,,,,,,Oppose,,,,,,Disagree,Disagree,Disagree,Neutral,Neutral,18-24 years old,2,Liberal
11/13/2023 7:11,11/13/2023 7:12,IP Address,172.56.51.138,100,108,TRUE,11/13/2023 7:12,R_ZCzeMiYxX2mzzrz,,,,,29.7738,-95.406,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,,,Support,,,,,,Neutral,Disagree,Neutral,Neutral,Neutral,18-24 years old,3,Moderate
11/13/2023 8:33,11/13/2023 8:35,IP Address,129.170.197.146,100,117,TRUE,11/13/2023 8:35,R_BAoKbJ7vs4gXT69,,,,,43.7019,-72.2827,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,Support,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,18-24 years old,1,Liberal
11/13/2023 9:23,11/13/2023 9:24,IP Address,172.56.51.98,100,71,TRUE,11/13/2023 9:24,R_9vqVvpgp9sGNK1P,,,,,29.7738,-95.406,anonymous,EN,Male,Single,0,Asian,"Some college, but no degree",,,Support,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Agree,18-24 years old,1,Moderate
11/13/2023 9:44,11/13/2023 9:53,IP Address,98.57.68.251,100,537,TRUE,11/13/2023 9:53,R_2dAZsp7Ulcm4uBI,,,,,29.8143,-95.8049,anonymous,EN,Male,Single,0,Black/ African American,,,,,,,,,,,,Support,,Neutral,Agree,Neutral,Agree,Agree,18-24 years old,3,Moderate
11/13/2023 10:22,11/13/2023 10:23,IP Address,172.58.144.11,100,74,TRUE,11/13/2023 10:23,R_1OBmKEx2S5R5Lfb,,,,,29.7373,-95.3972,anonymous,EN,Male,Single,0,Asian,Highschool graduate,Support,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Neutral,18-24 years old,2,Conservative
11/13/2023 10:34,11/13/2023 10:35,IP Address,75.53.228.85,100,57,TRUE,11/13/2023 10:35,R_vHszlVhXnUbX1yF,,,,,29.5542,-95.7325,anonymous,EN,Male,Single,0,Asian,Highschool graduate,,,,,Oppose,,,,,,,,Neutral,Agree,Agree,Neutral,Disagree,18-24 years old,1,Moderate
11/13/2023 16:29,11/13/2023 16:30,IP Address,98.34.186.98,100,83,TRUE,11/13/2023 16:30,R_2cey41Mphv0GRcJ,,,,,29.7646,-95.3657,anonymous,EN,Female,Single,0,Asian,"Some college, but no degree",,Support,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,18-24 years old,1,Liberal
11/13/2023 21:09,11/13/2023 21:13,IP Address,76.217.165.141,100,217,TRUE,11/13/2023 21:13,R_2aY4aLrewAmFCSc,,,,,34.3975,-118.5568,anonymous,EN,Male,Single,0,White,"Some college, but no degree",,,,,,,Support,,,,,,Neutral,Agree,Disagree,Neutral,Neutral,18-24 years old,1,Moderate
